Country,Code,Year,Excess female deaths,Missing female births
China,CHN,1975-01-01,320000,
China,CHN,1980-01-01,420000,
China,CHN,1985-01-01,500000,170000.0
China,CHN,1990-01-01,570000,470000.0
China,CHN,1995-01-01,540000,680000.0
China,CHN,2000-01-01,450000,660000.0
China,CHN,2005-01-01,590000,750000.0
China,CHN,2010-01-01,590000,890000.0
China,CHN,2015-01-01,590000,870000.0
China,CHN,2020-01-01,620000,730000.0
China,CHN,2025-01-01,670000,590000.0
China,CHN,2030-01-01,740000,490000.0
China,CHN,2035-01-01,820000,420000.0
China,CHN,2040-01-01,900000,360000.0
China,CHN,2045-01-01,970000,290000.0
China,CHN,2050-01-01,1020000,220000.0
India,IND,1975-01-01,1010000,
India,IND,1980-01-01,900000,
India,IND,1985-01-01,950000,130000.0
India,IND,1990-01-01,960000,200000.0
India,IND,1995-01-01,820000,440000.0
India,IND,2000-01-01,720000,550000.0
India,IND,2005-01-01,590000,620000.0
India,IND,2010-01-01,430000,630000.0
India,IND,2015-01-01,380000,630000.0
India,IND,2020-01-01,360000,590000.0
India,IND,2025-01-01,340000,540000.0
India,IND,2030-01-01,320000,470000.0
India,IND,2035-01-01,290000,390000.0
India,IND,2040-01-01,280000,320000.0
India,IND,2045-01-01,300000,260000.0
India,IND,2050-01-01,280000,250000.0
Rest of World,,1975-01-01,460000,
Rest of World,,1980-01-01,540000,
Rest of World,,1985-01-01,450000,70000.0
Rest of World,,1990-01-01,440000,90000.0
Rest of World,,1995-01-01,570000,110000.0
Rest of World,,2000-01-01,550000,150000.0
Rest of World,,2005-01-01,590000,180000.0
Rest of World,,2010-01-01,640000,190000.0
Rest of World,,2015-01-01,670000,190000.0
Rest of World,,2020-01-01,720000,170000.0
Rest of World,,2025-01-01,790000,160000.0
Rest of World,,2030-01-01,860000,140000.0
Rest of World,,2035-01-01,950000,140000.0
Rest of World,,2040-01-01,1040000,140000.0
Rest of World,,2045-01-01,1130000,130000.0
Rest of World,,2050-01-01,1210000,130000.0
World,OWID_WRL,1975-01-01,1790000,
World,OWID_WRL,1980-01-01,1860000,
World,OWID_WRL,1985-01-01,1900000,370000.0
World,OWID_WRL,1990-01-01,1970000,760000.0
World,OWID_WRL,1995-01-01,1930000,1230000.0
World,OWID_WRL,2000-01-01,1710000,1360000.0
World,OWID_WRL,2005-01-01,1780000,1550000.0
World,OWID_WRL,2010-01-01,1660000,1710000.0
World,OWID_WRL,2015-01-01,1650000,1690000.0
World,OWID_WRL,2020-01-01,1710000,1500000.0
World,OWID_WRL,2025-01-01,1800000,1280000.0
World,OWID_WRL,2030-01-01,1920000,1090000.0
World,OWID_WRL,2035-01-01,2060000,950000.0
World,OWID_WRL,2040-01-01,2210000,810000.0
World,OWID_WRL,2045-01-01,2390000,680000.0
World,OWID_WRL,2050-01-01,2520000,600000.0
