Country,Code,Year,Missing women
China,CHN,1970-01-01,27200000
China,CHN,1975-01-01,29000000
China,CHN,1980-01-01,31800000
China,CHN,1985-01-01,33200000
China,CHN,1990-01-01,39200000
China,CHN,1995-01-01,44300000
China,CHN,2000-01-01,49500000
China,CHN,2005-01-01,55700000
China,CHN,2010-01-01,62300000
China,CHN,2015-01-01,68400000
China,CHN,2020-01-01,72300000
China,CHN,2025-01-01,74900000
China,CHN,2030-01-01,76400000
China,CHN,2035-01-01,76900000
China,CHN,2040-01-01,76600000
China,CHN,2045-01-01,75100000
China,CHN,2050-01-01,73400000
India,IND,1970-01-01,21800000
India,IND,1975-01-01,24800000
India,IND,1980-01-01,27100000
India,IND,1985-01-01,30200000
India,IND,1990-01-01,33200000
India,IND,1995-01-01,36100000
India,IND,2000-01-01,38900000
India,IND,2005-01-01,41100000
India,IND,2010-01-01,43300000
India,IND,2015-01-01,44900000
India,IND,2020-01-01,45800000
India,IND,2025-01-01,46300000
India,IND,2030-01-01,46000000
India,IND,2035-01-01,45100000
India,IND,2040-01-01,43600000
India,IND,2045-01-01,42000000
India,IND,2050-01-01,40300000
Rest of World,,1970-01-01,12100000
Rest of World,,1975-01-01,12500000
Rest of World,,1980-01-01,13300000
Rest of World,,1985-01-01,14600000
Rest of World,,1990-01-01,15200000
Rest of World,,1995-01-01,16300000
Rest of World,,2000-01-01,17400000
Rest of World,,2005-01-01,19500000
Rest of World,,2010-01-01,20100000
Rest of World,,2015-01-01,22800000
Rest of World,,2020-01-01,24500000
Rest of World,,2025-01-01,26100000
Rest of World,,2030-01-01,27100000
Rest of World,,2035-01-01,27900000
Rest of World,,2040-01-01,28300000
Rest of World,,2045-01-01,28400000
Rest of World,,2050-01-01,28300000
World,OWID_WRL,1970-01-01,61000000
World,OWID_WRL,1975-01-01,66400000
World,OWID_WRL,1980-01-01,72200000
World,OWID_WRL,1985-01-01,79300000
World,OWID_WRL,1990-01-01,87600000
World,OWID_WRL,1995-01-01,96700000
World,OWID_WRL,2000-01-01,105900000
World,OWID_WRL,2005-01-01,116400000
World,OWID_WRL,2010-01-01,125600000
World,OWID_WRL,2015-01-01,136200000
World,OWID_WRL,2020-01-01,142600000
World,OWID_WRL,2025-01-01,147200000
World,OWID_WRL,2030-01-01,149500000
World,OWID_WRL,2035-01-01,149900000
World,OWID_WRL,2040-01-01,148600000
World,OWID_WRL,2045-01-01,145400000
World,OWID_WRL,2050-01-01,142000000
