Country,Code,Year,Missing women,Excess female deaths,Missing female births
China,CHN,1970-01-01,27200000,,
China,CHN,1975-01-01,29000000,320000.0,
China,CHN,1980-01-01,31800000,420000.0,
China,CHN,1985-01-01,33200000,500000.0,170000.0
China,CHN,1990-01-01,39200000,570000.0,470000.0
China,CHN,1995-01-01,44300000,540000.0,680000.0
China,CHN,2000-01-01,49500000,450000.0,660000.0
China,CHN,2005-01-01,55700000,590000.0,750000.0
China,CHN,2010-01-01,62300000,590000.0,890000.0
China,CHN,2015-01-01,68400000,590000.0,870000.0
China,CHN,2020-01-01,72300000,620000.0,730000.0
China,CHN,2025-01-01,74900000,670000.0,590000.0
China,CHN,2030-01-01,76400000,740000.0,490000.0
China,CHN,2035-01-01,76900000,820000.0,420000.0
China,CHN,2040-01-01,76600000,900000.0,360000.0
China,CHN,2045-01-01,75100000,970000.0,290000.0
China,CHN,2050-01-01,73400000,1020000.0,220000.0
India,IND,1970-01-01,21800000,,
India,IND,1975-01-01,24800000,1010000.0,
India,IND,1980-01-01,27100000,900000.0,
India,IND,1985-01-01,30200000,950000.0,130000.0
India,IND,1990-01-01,33200000,960000.0,200000.0
India,IND,1995-01-01,36100000,820000.0,440000.0
India,IND,2000-01-01,38900000,720000.0,550000.0
India,IND,2005-01-01,41100000,590000.0,620000.0
India,IND,2010-01-01,43300000,430000.0,630000.0
India,IND,2015-01-01,44900000,380000.0,630000.0
India,IND,2020-01-01,45800000,360000.0,590000.0
India,IND,2025-01-01,46300000,340000.0,540000.0
India,IND,2030-01-01,46000000,320000.0,470000.0
India,IND,2035-01-01,45100000,290000.0,390000.0
India,IND,2040-01-01,43600000,280000.0,320000.0
India,IND,2045-01-01,42000000,300000.0,260000.0
India,IND,2050-01-01,40300000,280000.0,250000.0
Rest of World,,1970-01-01,12100000,,
Rest of World,,1975-01-01,12500000,460000.0,
Rest of World,,1980-01-01,13300000,540000.0,
Rest of World,,1985-01-01,14600000,450000.0,70000.0
Rest of World,,1990-01-01,15200000,440000.0,90000.0
Rest of World,,1995-01-01,16300000,570000.0,110000.0
Rest of World,,2000-01-01,17400000,550000.0,150000.0
Rest of World,,2005-01-01,19500000,590000.0,180000.0
Rest of World,,2010-01-01,20100000,640000.0,190000.0
Rest of World,,2015-01-01,22800000,670000.0,190000.0
Rest of World,,2020-01-01,24500000,720000.0,170000.0
Rest of World,,2025-01-01,26100000,790000.0,160000.0
Rest of World,,2030-01-01,27100000,860000.0,140000.0
Rest of World,,2035-01-01,27900000,950000.0,140000.0
Rest of World,,2040-01-01,28300000,1040000.0,140000.0
Rest of World,,2045-01-01,28400000,1130000.0,130000.0
Rest of World,,2050-01-01,28300000,1210000.0,130000.0
World,OWID_WRL,1970-01-01,61000000,,
World,OWID_WRL,1975-01-01,66400000,1790000.0,
World,OWID_WRL,1980-01-01,72200000,1860000.0,
World,OWID_WRL,1985-01-01,79300000,1900000.0,370000.0
World,OWID_WRL,1990-01-01,87600000,1970000.0,760000.0
World,OWID_WRL,1995-01-01,96700000,1930000.0,1230000.0
World,OWID_WRL,2000-01-01,105900000,1710000.0,1360000.0
World,OWID_WRL,2005-01-01,116400000,1780000.0,1550000.0
World,OWID_WRL,2010-01-01,125600000,1660000.0,1710000.0
World,OWID_WRL,2015-01-01,136200000,1650000.0,1690000.0
World,OWID_WRL,2020-01-01,142600000,1710000.0,1500000.0
World,OWID_WRL,2025-01-01,147200000,1800000.0,1280000.0
World,OWID_WRL,2030-01-01,149500000,1920000.0,1090000.0
World,OWID_WRL,2035-01-01,149900000,2060000.0,950000.0
World,OWID_WRL,2040-01-01,148600000,2210000.0,810000.0
World,OWID_WRL,2045-01-01,145400000,2390000.0,680000.0
World,OWID_WRL,2050-01-01,142000000,2520000.0,600000.0
